author-1,author-2,weight
0,173,4
1,21,1
1,75,1
1,96,1
1,145,1
2,89,1
2,185,1
4,9,1
4,26,3
4,57,1
4,58,1
4,59,2
4,65,125
4,68,1
4,92,120
4,149,4
4,150,4
4,156,4
4,161,7
4,165,1
4,173,52
4,177,30
4,191,1
5,70,1
6,128,1
7,24,4
7,116,4
7,173,4
7,177,4
8,49,2
8,95,1
8,132,1
8,175,2
10,39,1
10,123,1
10,155,1
10,173,1
10,194,1
11,48,4
11,65,4
11,92,4
12,1,1
12,96,1
12,145,1
12,173,1
12,177,1
13,30,1
13,129,1
13,141,1
13,173,1
13,181,2
14,8,1
14,17,1
14,65,1
14,95,1
15,65,1
15,161,1
16,126,2
16,148,1
16,170,2
16,177,2
17,8,5
17,25,1
17,49,1
17,95,1
17,132,1
17,175,1
17,183,1
18,3,1
18,37,1
18,51,2
18,52,1
18,77,1
18,84,1
19,65,4
19,87,4
20,65,4
20,98,1
20,139,1
20,150,1
20,167,1
20,168,1
20,173,1
20,177,1
20,178,1
21,75,1
24,1,1
24,3,1
24,18,14
24,40,2
24,51,2
24,52,1
24,65,30
24,77,1
24,83,1
24,84,1
24,116,4
24,157,2
24,173,30
24,177,8
25,132,1
26,173,9
28,65,4
28,122,1
28,161,1
28,168,1
28,177,4
31,1,1
31,21,1
31,75,1
33,89,1
33,115,1
33,154,1
33,185,1
34,33,1
34,46,3
34,48,5
34,50,3
34,65,10
34,89,6
34,173,6
34,177,2
34,182,1
34,185,6
34,188,1
35,66,1
36,32,1
37,3,1
37,77,1
37,84,1
38,134,1
38,180,1
39,123,1
39,155,1
39,194,1
42,173,3
42,177,3
44,125,4
44,177,4
44,187,4
45,5,1
45,126,1
45,166,1
45,173,1
45,177,1
46,185,2
47,32,1
47,36,1
47,65,1
47,81,1
47,86,1
48,33,1
48,46,3
48,50,3
48,65,45
48,89,6
48,93,2
48,150,1
48,173,6
48,177,6
48,182,1
48,185,6
49,175,1
50,46,3
50,185,2
53,3,1
53,18,1
53,24,1
53,37,1
53,65,1
53,77,1
53,84,1
54,65,1
54,168,2
54,173,4
54,177,4
55,65,9
55,102,6
55,107,4
55,121,6
55,173,1
55,177,6
56,115,1
56,154,1
60,65,1
60,102,1
60,121,1
60,173,1
60,177,1
61,4,12
61,65,12
61,90,12
61,92,12
61,177,12
62,1,1
62,108,1
62,162,1
63,18,1
63,173,1
64,35,1
64,66,1
64,177,4
65,1,4
65,5,8
65,6,10
65,8,5
65,27,1
65,30,1
65,32,1
65,36,1
65,42,6
65,43,4
65,49,1
65,70,1
65,80,4
65,87,3
65,89,10
65,95,1
65,100,1
65,108,2
65,115,14
65,117,2
65,126,9
65,129,8
65,132,1
65,137,2
65,139,1
65,150,12
65,156,18
65,167,1
65,173,414
65,175,1
65,177,426
65,184,2
65,185,24
65,189,2
65,190,2
65,191,1
67,65,1
67,168,1
67,173,1
67,177,1
69,65,8
69,161,4
69,168,2
69,173,8
69,177,1
69,185,4
71,65,1
71,92,4
71,121,4
71,177,4
72,23,1
72,97,1
72,107,2
72,124,1
72,144,1
72,146,1
72,173,3
76,29,1
77,3,1
78,4,4
78,65,9
78,89,1
78,92,9
78,156,4
78,177,1
78,185,1
79,18,1
79,24,1
79,52,1
79,65,1
79,173,1
81,32,1
81,36,1
81,86,1
82,8,3
82,17,2
82,49,1
82,65,2
82,136,1
82,175,1
84,3,1
84,77,1
85,4,8
85,65,10
85,92,10
85,135,1
85,161,4
85,168,1
85,177,6
85,191,1
86,32,1
86,36,1
87,80,1
88,65,12
88,173,9
88,177,12
88,185,4
89,185,15
90,177,12
91,43,4
91,65,4
91,108,1
91,121,4
91,130,1
91,140,4
92,9,1
92,18,2
92,33,1
92,34,3
92,35,1
92,48,7
92,57,1
92,58,1
92,65,360
92,66,1
92,89,8
92,127,3
92,150,4
92,156,10
92,161,13
92,168,11
92,173,216
92,177,276
92,182,1
92,184,1
92,185,14
92,188,1
92,191,1
93,46,2
93,50,2
93,89,2
93,173,6
93,177,2
93,185,2
94,2,1
94,89,1
94,177,1
94,185,1
97,23,1
97,107,1
98,178,1
99,100,1
99,193,1
101,6,1
101,126,1
101,128,1
101,177,1
102,121,9
103,22,1
103,65,1
103,115,1
103,142,1
105,65,4
105,115,4
106,124,1
106,146,1
108,162,1
109,117,2
110,35,1
110,64,4
110,65,6
110,66,1
110,92,12
110,121,4
110,177,12
111,8,1
111,17,1
111,25,1
111,65,1
111,132,1
111,183,1
112,99,1
112,100,1
112,193,1
113,106,1
113,124,1
113,146,1
113,173,1
114,1,1
114,65,20
114,92,16
114,168,1
114,173,16
114,177,12
115,22,1
115,142,1
115,154,8
115,173,8
118,34,2
118,65,6
118,89,2
118,92,2
118,173,6
118,177,2
118,185,2
119,5,4
119,70,1
119,177,4
121,43,4
122,150,1
122,173,6
122,177,20
123,73,1
123,172,1
123,194,1
124,146,1
125,187,4
126,6,12
126,128,1
126,164,1
126,170,2
126,173,12
126,177,33
127,65,9
127,177,6
129,27,1
129,30,1
129,137,4
129,173,2
130,43,1
130,121,1
131,141,1
131,173,1
133,74,1
133,156,1
134,180,1
135,9,1
135,41,1
135,57,1
135,58,1
135,65,35
135,92,50
135,127,1
135,147,3
135,156,4
135,173,1
135,177,50
136,8,2
136,49,1
136,175,1
137,27,1
138,65,1
138,150,1
138,161,1
138,173,1
139,167,1
140,43,4
140,108,1
140,121,4
140,130,1
142,22,1
143,65,4
143,105,2
143,115,4
143,120,1
144,107,2
144,173,1
144,177,1
145,96,1
147,57,1
147,58,1
147,65,1
147,127,1
147,177,6
148,170,1
148,177,1
149,65,35
149,122,1
149,126,1
149,150,4
149,161,4
149,173,45
149,177,35
150,5,1
150,173,10
150,177,15
151,65,2
151,115,2
151,173,2
151,177,2
152,1,1
152,24,8
152,65,6
152,83,1
152,173,6
153,34,8
153,46,3
153,48,8
153,50,3
153,65,15
153,89,2
153,92,2
153,118,3
153,173,12
153,177,2
153,185,2
155,73,1
155,123,4
155,172,1
155,194,1
156,74,1
157,51,2
158,65,1
158,92,1
158,173,1
158,177,1
159,65,4
159,80,4
159,87,1
159,173,4
160,109,2
160,117,2
161,65,80
161,150,2
161,173,55
161,177,10
161,184,2
161,185,4
163,65,1
163,104,1
163,181,1
165,65,12
165,69,2
165,92,12
165,149,1
165,168,6
165,173,8
165,177,6
166,5,1
166,173,4
166,177,4
168,6,2
168,65,68
168,139,1
168,161,4
168,167,1
168,173,52
168,177,52
168,184,2
169,115,1
169,154,1
169,173,1
172,73,1
173,1,3
173,5,2
173,6,4
173,18,4
173,73,1
173,80,4
173,87,1
173,89,2
173,116,4
173,139,1
173,141,1
173,146,1
173,154,2
173,167,1
173,172,1
173,177,282
173,185,10
173,189,2
173,190,2
174,73,1
174,123,1
174,155,1
174,172,1
174,173,1
176,156,1
176,177,1
177,5,8
177,6,4
177,9,1
177,18,2
177,35,1
177,57,1
177,58,1
177,66,1
177,70,1
177,89,8
177,96,1
177,102,9
177,107,6
177,116,4
177,121,15
177,125,4
177,128,1
177,139,1
177,156,6
177,164,1
177,167,1
177,170,2
177,185,15
177,187,4
177,189,2
177,190,2
177,191,1
179,38,1
179,134,1
179,180,1
181,30,1
181,104,1
181,140,1
181,141,1
181,173,2
182,185,1
183,25,1
183,132,1
184,177,2
186,43,1
186,121,1
186,140,1
188,6,1
188,33,1
188,65,4
188,89,1
188,173,1
188,182,1
188,185,1
190,189,2
192,6,4
192,65,4
192,126,4
192,171,1
193,100,1
0,4,4
0,65,4
0,92,1
1,65,8
1,92,1
1,161,1
1,173,6
1,177,1
2,65,1
2,88,1
2,177,1
3,65,1
4,85,4
5,65,4
5,126,1
5,173,2
5,177,4
6,65,10
6,126,18
6,168,2
6,177,8
8,65,5
13,65,1
15,92,1
15,149,1
17,65,4
18,24,7
18,65,12
18,173,8
21,65,1
22,65,1
23,65,1
23,107,1
23,173,1
24,92,2
24,152,4
25,8,1
25,65,1
26,4,6
26,65,9
26,85,1
26,92,9
26,161,1
28,114,1
29,65,1
31,65,1
33,65,4
34,92,3
34,153,4
35,65,1
37,24,1
37,65,1
38,65,1
39,173,1
40,18,2
40,65,2
40,92,2
40,173,2
40,177,2
41,65,1
41,92,1
41,173,1
41,177,1
42,65,3
43,108,1
45,65,1
46,34,3
46,50,3
46,65,3
46,89,2
46,92,2
46,118,2
46,173,2
46,177,2
48,4,4
48,34,15
48,92,35
48,118,2
48,153,4
48,188,1
50,34,3
50,65,3
50,89,2
50,92,2
50,118,2
50,173,2
50,177,2
51,65,2
52,65,1
52,173,1
54,92,4
56,65,1
59,92,1
59,150,1
59,173,2
60,55,1
62,65,1
62,161,1
63,24,1
64,65,4
64,92,4
65,4,75
65,24,10
65,34,5
65,85,5
65,92,360
65,149,7
65,161,16
66,65,1
68,65,1
68,92,1
68,173,1
69,92,6
69,165,2
71,110,4
72,65,1
74,65,1
75,65,1
76,65,1
77,65,1
81,65,1
83,65,1
83,173,1
84,65,1
86,65,1
87,65,6
88,92,9
89,65,5
89,88,1
89,177,4
90,4,12
90,65,12
90,92,12
92,4,150
92,85,5
92,149,12
93,34,2
93,65,6
93,92,6
93,118,2
93,153,2
93,161,1
93,168,1
94,65,1
94,88,1
96,173,1
97,65,1
97,173,1
98,65,1
98,150,1
99,65,1
102,55,3
102,65,9
102,107,4
102,173,1
104,65,1
105,143,2
106,72,1
106,173,1
107,65,6
107,173,2
107,177,3
108,1,1
108,65,2
108,161,1
109,65,2
112,65,1
113,72,1
115,65,21
118,153,3
119,65,4
120,65,1
120,105,1
120,115,1
121,55,3
121,65,24
121,92,4
121,107,4
121,108,1
121,173,1
122,42,4
122,65,16
122,161,1
123,173,4
124,173,1
126,65,36
126,168,1
127,4,4
127,92,6
129,65,8
130,65,1
130,108,1
131,13,1
131,181,1
133,65,1
134,65,1
135,4,18
136,17,1
136,65,1
137,65,2
137,173,1
140,65,9
140,129,1
140,173,1
142,65,1
145,173,1
145,177,1
147,4,4
147,92,6
147,135,3
148,126,1
150,65,18
150,161,2
154,65,2
154,115,4
154,173,2
155,173,4
156,65,6
