author-1,author-2,weight
0,9,1
0,18,1
0,48,1
0,72,1
0,102,1
0,108,1
0,122,4
0,125,1
1,14,1
1,18,1
1,27,1
1,39,1
1,48,1
1,54,1
1,61,1
2,6,1
2,20,1
2,42,1
2,43,1
2,45,6
2,48,14
2,62,6
2,67,6
2,69,33
2,95,10
2,103,4
2,105,1
2,114,4
2,122,4
2,125,27
3,48,4
3,73,1
3,90,4
3,92,1
3,118,4
3,120,1
3,122,1
3,125,1
3,130,1
3,131,1
4,18,4
4,84,4
4,122,4
4,125,4
5,10,1
5,13,5
5,19,1
5,35,2
5,48,10
5,59,3
5,71,1
5,81,1
5,94,1
5,96,2
5,124,2
5,128,1
6,69,1
6,95,1
6,125,1
7,28,1
7,89,1
7,110,1
7,122,1
7,132,1
8,34,4
8,48,4
8,69,4
9,72,1
9,102,1
9,122,1
9,125,1
10,13,1
10,48,1
10,71,1
11,48,1
11,69,1
11,105,1
11,114,1
12,90,2
12,104,1
12,119,2
12,125,2
13,19,1
13,35,1
13,48,4
13,59,2
13,71,1
13,81,1
13,94,1
13,96,1
13,124,1
13,128,1
14,18,21
14,27,1
14,29,2
14,37,2
14,38,1
14,39,1
14,46,1
14,48,12
14,54,1
14,56,1
14,61,1
14,69,2
14,111,2
14,122,12
14,125,2
15,48,1
15,64,1
16,48,1
16,98,1
16,117,1
16,118,1
16,122,1
16,125,1
17,48,1
17,75,1
17,83,1
17,100,1
18,27,1
18,29,2
18,37,2
18,38,1
18,39,1
18,46,1
18,48,40
18,54,1
18,56,1
18,60,1
18,61,1
18,69,2
18,84,4
18,108,12
18,111,2
18,122,40
18,125,8
19,48,1
19,81,1
19,94,1
19,128,1
20,48,1
20,62,1
20,69,1
20,122,1
21,48,1
21,82,1
21,118,1
21,125,1
22,26,1
22,33,1
22,48,1
22,58,1
22,63,1
23,24,1
23,34,1
23,48,1
23,66,1
23,69,1
23,127,1
23,130,1
24,32,6
24,34,20
24,36,6
24,48,15
24,66,1
24,69,1
24,70,2
24,85,2
24,109,12
24,122,1
24,127,1
24,130,1
25,47,1
25,48,1
25,49,1
25,69,1
25,80,1
25,125,1
26,33,1
26,48,1
26,58,1
26,63,1
27,39,1
27,48,1
27,54,1
27,61,1
28,89,1
28,110,1
28,122,1
28,132,1
29,48,2
29,69,2
29,122,2
29,125,2
30,48,1
30,69,1
30,95,1
30,122,1
30,125,1
31,48,1
31,68,1
31,79,1
31,87,1
31,93,1
31,99,1
32,34,3
32,36,6
32,48,3
32,70,2
32,85,2
32,109,3
33,48,1
33,58,1
33,63,1
34,36,3
34,48,21
34,66,1
34,69,9
34,70,2
34,85,2
34,109,12
34,122,1
34,127,1
34,130,1
35,48,1
35,59,1
35,96,1
35,124,1
36,48,3
36,70,2
36,85,2
36,109,3
37,48,2
37,111,2
38,48,1
38,56,1
38,122,1
39,48,1
39,54,1
39,61,1
40,48,1
40,69,1
40,118,1
40,122,1
40,125,1
41,44,1
41,48,4
41,74,4
41,78,1
41,87,4
41,122,1
41,125,4
42,69,1
42,95,1
42,103,1
42,125,1
43,69,1
43,95,1
43,103,1
43,125,1
44,48,1
44,74,1
44,87,1
44,122,1
44,125,1
45,48,6
45,67,6
45,69,6
45,125,6
46,122,1
47,48,4
47,49,1
47,69,4
47,80,4
47,125,4
48,49,1
48,50,1
48,51,8
48,52,1
48,54,1
48,55,1
48,56,1
48,57,1
48,58,1
48,59,2
48,60,1
48,61,1
48,62,6
48,63,1
48,64,4
48,65,4
48,66,2
48,67,6
48,68,1
48,69,186
48,70,2
48,71,1
48,74,4
48,75,1
48,76,1
48,77,4
48,78,1
48,79,1
48,80,6
48,81,1
48,82,12
48,83,15
48,85,6
48,86,1
48,87,8
48,88,1
48,90,1
48,91,1
48,93,1
48,94,1
48,95,8
48,96,1
48,97,1
48,98,1
48,99,1
48,100,1
48,101,4
48,103,1
48,105,9
48,106,1
48,107,2
48,108,6
48,109,15
48,111,2
48,112,1
48,113,1
48,114,10
48,115,1
48,116,6
48,117,1
48,118,20
48,120,1
48,122,198
48,124,1
48,125,198
48,126,1
48,127,1
48,128,1
48,129,8
48,130,4
48,131,1
49,69,1
49,80,1
49,125,1
50,118,1
50,122,1
50,125,1
51,69,6
51,114,4
51,116,4
51,118,4
51,122,12
51,125,1
51,129,4
52,69,4
52,80,4
52,87,4
52,125,4
53,89,1
53,110,1
53,121,1
53,122,1
53,123,1
54,61,1
55,66,1
55,69,1
55,125,1
55,129,1
56,122,1
57,64,1
57,113,1
57,122,1
58,63,1
59,96,1
