node_id,node_name,node_group,weight,author-1,author-2
0,"Bi, Fei",author,2,0,0
1,"Cao, Xin",author,5,1,1
2,"Cen, Wubin",author,1,2,2
3,"Chang, Kevin Chen-Chuan",author,1,3,3
4,"Chang, Lijun",author,32,4,4
5,"Cheema, Muhammad Aamir",author,4,5,5
6,"Chen, Chen",author,7,6,6
7,"Chen, Hongmei",author,2,7,7
8,"Chen, Lei",author,5,8,8
9,"Chen, Ling",author,1,9,9
10,"Chen, Xiaocong",author,1,10,10
11,"Chen, Xiaoshuang",author,2,11,11
12,"Chen, Xuefeng",author,1,12,12
13,"Chen, Yifan",author,2,13,13
14,"Chen, Zhao",author,1,14,14
15,"Chen, Zi",author,1,15,15
16,"Cheng, Dawei",author,2,16,16
17,"Cheng, Peng",author,4,17,17
18,"Cheng, Reynold",author,7,18,18
19,"Choi, Dong-Wan",author,2,19,19
20,"Chu, Deming",author,2,20,20
21,"Cong, Gao",author,1,21,21
22,"Dong, Youbin",author,1,22,22
23,"Du, Bo",author,1,23,23
24,"Fang, Yixiang",author,13,24,24
25,"Feng, Chao",author,1,25,25
26,"Feng, Xing",author,3,26,26
27,"Gao, Junbin",author,1,27,27
28,"Ghafouri, Maryam",author,2,28,28
29,"Gong, Zhiguo",author,1,29,29
30,"Guo, Deke",author,1,30,30
31,"Guo, Tao",author,1,31,31
32,"Han, Wook-Shin",author,1,32,32
33,"Han, Yuxing",author,2,33,33
34,"Hao, Kongzhang",author,5,34,34
35,"He, Xiangjian",author,1,35,35
36,"Hong, Seok-Hee",author,1,36,36
37,"Hu, Jiafeng",author,1,37,37
38,"Huanc, Zenofeno",author,1,38,38
39,"Huang, Chaoran",author,1,39,39
40,"Huang, Xin",author,2,40,40
41,"Huang, Yilun",author,1,41,41
42,"Huang, Zengfeng",author,3,42,42
43,"Ishikawa, Yoshiharu",author,2,43,43
44,"Ji, Wendi",author,2,44,44
45,"Jiang, Shanqing",author,1,45,45
46,"Jin, Xin",author,3,46,46
47,"Kim, Hyunjoon",author,1,47,47
48,"Lai, Longbin",author,9,48,48
49,"Lai, Xin",author,1,49,49
50,"Lai, Zhengmin",author,3,50,50
51,"Lakshmanan, Laks V. S.",author,2,51,51
52,"Lakshmanan, Laks V.S.",author,1,52,52
53,"Li, Boxuan",author,1,53,53
54,"Li, Conggai",author,2,54,54
55,"Li, Mingjie",author,3,55,55
56,"Li, Peipei",author,1,56,56
57,"Li, Rong-Hua",author,1,57,57
58,"Li, Ronghua",author,1,58,58
59,"Li, Wei",author,2,59,59
60,"Li, Wen",author,1,60,60
61,"Li, Wentao",author,4,61,61
62,"Li, Yanhui",author,1,62,62
63,"Li, Yun",author,1,63,63
64,"Lian, Defu",author,2,64,64
65,"Lin, Xuemin",author,142,65,65
66,"Lin, Yiguang",author,1,66,66
67,"Linghu, Qingyuan",author,1,67,67
68,"Lit, Wei",author,1,68,68
69,"Liu, Boge",author,4,69,69
70,"Liu, Dongxi",author,1,70,70
71,"Liu, Wanqi",author,2,71,71
72,"Liu, Weiwei",author,3,72,72
73,"Liu, Yunhao",author,1,73,73
74,"Lu, Can",author,1,74,74
75,"Lu, Jiaheng",author,1,75,75
76,"Lu, Juan",author,1,76,76
77,"Luo, Ruibang",author,1,77,77
78,"Lyu, Bingqing",author,3,78,78
79,"Ma, Chenhao",author,1,79,79
80,"McCann, Julie A.",author,2,80,80
81,"Min, Seunghwan",author,1,81,81
82,"Ni, Wangze",author,2,82,82
83,"Orlowska, Maria E.",author,1,83,83
84,"Ou, Min",author,1,84,84
85,"Ouyang, Dian",author,5,85,85
86,"Park, Kunsoo",author,1,86,86
87,"Pei, Jian",author,3,87,87
88,"Peng, You",author,4,88,88
89,"Qian, Zhengping",author,5,89,89
90,"Qiao, Miao",author,4,90,90
91,"Qin, Jianbin",author,2,91,91
92,"Qin, Lu",author,70,92,92
93,"Qing, Zhu",author,3,93,93
94,"Qiu, Xiafei",author,1,94,94
95,"Shahabi, Cyrus",author,1,95,95
96,"Shang, Shuo",author,1,96,96
97,"Shen, Xiaobo",author,1,97,97
98,"Shen, Zhitao",author,1,98,98
99,"Song, Shaoxu",author,1,99,99
100,"Sun, Jiaguang",author,1,100,100
101,"Sun, Renjie",author,1,101,101
102,"Sun, Yifang",author,3,102,102
103,"Sun, Yuting",author,1,103,103
104,"Tang, Jiuyang",author,1,104,104
105,"Tang, Mingrong",author,2,105,105
106,"Tian, Feng",author,1,106,106
107,"Tsang, Ivor W.",author,5,107,107
108,"Wang, Guoren",author,2,108,108
109,"Wang, Haixun",author,2,109,109
110,"Wang, Hanchen",author,4,110,110
111,"Wang, Jiachuan",author,1,111,111
112,"Wang, Jianmin",author,1,112,112
113,"Wang, Jing",author,1,113,113
114,"Wang, Kai",author,5,114,114
115,"Wang, Liping",author,9,115,115
116,"Wang, Lizhen",author,2,116,116
117,"Wang, Min",author,2,117,117
118,"Wang, Ran",author,3,118,118
119,"Wang, Shenlu",author,2,119,119
120,"Wang, Shuting",author,1,120,120
121,"Wang, Wei",author,7,121,121
122,"Wang, Xiang",author,5,122,122
123,"Wang, Xianzhi",author,2,123,123
124,"Wang, Xiao",author,1,124,124
125,"Wang, Xiaoling",author,2,125,125
126,"Wang, Xiaoyang",author,13,126,126
127,"Wang, Xubo",author,3,127,127
128,"Wang, Xun",author,1,128,128
129,"Wang, Yang",author,4,129,129
130,"Wang, Yaoshu",author,1,130,130
131,"Wang, Yuheng",author,1,131,131
132,"Wang, Zheng",author,1,132,132
133,"Wei, Hao",author,1,133,133
134,"Wei, Zhewei",author,1,134,134
135,"Wen, Dong",author,10,135,135
136,"Wu, Han",author,1,136,136
137,"Wu, Lin",author,2,137,137
138,"Wu, Xudong",author,1,138,138
139,"Xia, Yinglong",author,1,139,139
140,"Xiao, Chuan",author,3,140,140
141,"Xiao, Weidong",author,1,141,141
142,"Xie, Qize",author,1,142,142
143,"Xiong, Haobo",author,2,143,143
144,"Xu, Donna",author,2,144,144
145,"Xu, Zhiqiang",author,1,145,145
146,"Yamanishi, Kenji",author,1,146,146
147,"Yang, Bohua",author,3,147,147
148,"Yang, Fangzhou",author,1,148,148
149,"Yang, Jianye",author,10,149,149
150,"Yang, Shiyu",author,8,150,150
151,"Yang, Yang",author,2,151,151
152,"Yang, Yixing",author,3,152,152
153,"Yang, Zhengyi",author,5,153,153
154,"Yao, Junjie",author,4,154,154
155,"Yao, Lina",author,2,155,155
156,"Yu, Jeffrey Xu",author,7,156,156
157,"Yu, Kaiqiang",author,2,157,157
158,"Yu, Michael",author,1,158,158
159,"Yu, Weiren",author,2,159,159
