node_id,node_name,node_group,weight,author-1,author-2
0,"Bi, Fei",author,3,0,0
1,"Brankovic, L.",author,1,1,1
2,"Cafaro, Massimo",author,1,2,2
3,"Cao, Xin",author,3,3,3
4,"Cen, Wubin",author,1,4,4
5,"Chang, Lijun",author,35,5,5
6,"Cheema, M. A.",author,2,6,6
7,"Cheema, Muhammad Aamir",author,25,7,7
8,"Cheemal, Muhammad Aamir",author,1,8,8
9,"Chen, Chen",author,4,9,9
10,"Chen, Gang",author,1,10,10
11,"Chen, Jinjun",author,2,11,11
12,"Chen, Lei",author,2,12,12
13,"Chen, Yifan",author,3,13,13
14,"Cheng, Hong",author,1,14,14
15,"Cheng, Wei",author,1,15,15
16,"Cheqing, Jin",author,1,16,16
17,"Choi, Dong-Wan",author,1,17,17
18,"Chu, Deming",author,1,18,18
19,"Cong, Gao",author,1,19,19
20,"Du, Bo",author,1,20,20
21,"Feng, Xing",author,4,21,21
22,"Gao, Junbin",author,1,22,22
23,"Gao, Ming",author,1,23,23
24,"Gao, Yunjun",author,2,24,24
25,"Ghafouri, Maryam",author,1,25,25
26,"Gong, Zhiguo",author,1,26,26
27,"Guo, Deke",author,1,27,27
28,"Guo, Tao",author,1,28,28
29,"Han, Yuxing",author,3,29,29
30,"Hasan, Mahady",author,1,30,30
31,"Huanc, Zenofeno",author,1,31,31
32,"Huang, X.",author,1,32,32
33,"Huang, Xiaodi",author,1,33,33
34,"Huang, Zengfeng",author,3,34,34
35,"Ishikawa, Yoshiharu",author,2,35,35
36,"Ji, Wendi",author,2,36,36
37,"Jiang, Bin",author,2,37,37
38,"Jiang, Shanqing",author,1,38,38
39,"Jin, Xiaoming",author,1,39,39
40,"Ke, Yiping",author,2,40,40
41,"Kloppers, Corne",author,2,41,41
42,"Lai, Longbin",author,3,42,42
43,"Le, Jiajin",author,2,43,43
44,"Li, Aiping",author,4,44,44
45,"Li, Conggai",author,1,45,45
46,"Li, Keqiu",author,1,46,46
47,"Li, Kequi",author,1,47,47
48,"Li, Mingjie",author,1,48,48
49,"Li, Peipei",author,1,49,49
50,"Li, Wei",author,2,50,50
51,"Li, Wentao",author,1,51,51
52,"Li, Xuefei",author,1,52,52
53,"Li, Yanhui",author,1,53,53
54,"Liang, Weifa",author,1,54,54
55,"Liang, Xin",author,1,55,55
56,"Lin, Qianlu",author,6,56,56
57,"Lin, X.",author,2,57,57
58,"Lin, Xuemin",author,174,58,58
