node_id,node_name,node_group,weight,author-1,author-2
0,"Cao, Xin",author,2,0,0
1,"Chang, Kevin Chen-Chuan",author,1,1,1
2,"Chang, Lijun",author,11,2,2
3,"Chen, Chen",author,3,3,3
4,"Chen, Hongmei",author,2,4,4
5,"Chen, Lei",author,5,5,5
6,"Chen, Ling",author,1,6,6
7,"Chen, Xiaocong",author,1,7,7
8,"Chen, Xiaoshuang",author,2,8,8
9,"Chen, Xuefeng",author,1,9,9
10,"Chen, Zhao",author,1,10,10
11,"Chen, Zi",author,1,11,11
12,"Cheng, Dawei",author,2,12,12
13,"Cheng, Peng",author,4,13,13
14,"Cheng, Reynold",author,7,14,14
15,"Choi, Dong-Wan",author,1,15,15
16,"Chu, Deming",author,1,16,16
17,"Dong, Youbin",author,1,17,17
18,"Fang, Yixiang",author,13,18,18
19,"Feng, Chao",author,1,19,19
20,"Feng, Xing",author,1,20,20
21,"Ghafouri, Maryam",author,1,21,21
22,"Han, Wook-Shin",author,1,22,22
23,"Han, Yuxing",author,1,23,23
24,"Hao, Kongzhang",author,5,24,24
25,"He, Xiangjian",author,1,25,25
26,"Hong, Seok-Hee",author,1,26,26
27,"Hu, Jiafeng",author,1,27,27
28,"Huang, Chaoran",author,1,28,28
29,"Huang, Xin",author,2,29,29
30,"Huang, Yilun",author,1,30,30
31,"Ishikawa, Yoshiharu",author,1,31,31
32,"Jin, Xin",author,3,32,32
33,"Kim, Hyunjoon",author,1,33,33
34,"Lai, Longbin",author,7,34,34
35,"Lai, Xin",author,1,35,35
36,"Lai, Zhengmin",author,3,36,36
37,"Lakshmanan, Laks V. S.",author,2,37,37
38,"Lakshmanan, Laks V.S.",author,1,38,38
39,"Li, Boxuan",author,1,39,39
40,"Li, Conggai",author,1,40,40
41,"Li, Mingjie",author,2,41,41
42,"Li, Rong-Hua",author,1,42,42
43,"Li, Ronghua",author,1,43,43
44,"Li, Wen",author,1,44,44
45,"Li, Wentao",author,3,45,45
46,"Li, Yun",author,1,46,46
47,"Lian, Defu",author,2,47,47
48,"Lin, Xuemin",author,68,48,48
49,"Lin, Yiguang",author,1,49,49
50,"Linghu, Qingyuan",author,1,50,50
51,"Liu, Boge",author,4,51,51
52,"Liu, Wanqi",author,2,52,52
53,"Liu, Yunhao",author,1,53,53
54,"Luo, Ruibang",author,1,54,54
55,"Lyu, Bingqing",author,1,55,55
56,"Ma, Chenhao",author,1,56,56
57,"McCann, Julie A.",author,1,57,57
58,"Min, Seunghwan",author,1,58,58
59,"Ni, Wangze",author,2,59,59
60,"Orlowska, Maria E.",author,1,60,60
61,"Ou, Min",author,1,61,61
62,"Ouyang, Dian",author,3,62,62
63,"Park, Kunsoo",author,1,63,63
64,"Pei, Jian",author,2,64,64
65,"Peng, You",author,2,65,65
66,"Qian, Zhengping",author,2,66,66
67,"Qiao, Miao",author,3,67,67
68,"Qin, Jianbin",author,1,68,68
69,"Qin, Lu",author,37,69,69
70,"Qing, Zhu",author,2,70,70
71,"Shahabi, Cyrus",author,1,71,71
72,"Shang, Shuo",author,1,72,72
73,"Sun, Renjie",author,1,73,73
74,"Sun, Yifang",author,2,74,74
75,"Sun, Yuting",author,1,75,75
76,"Tang, Jiuyang",author,1,76,76
77,"Tang, Mingrong",author,2,77,77
78,"Tsang, Ivor W.",author,1,78,78
79,"Wang, Guoren",author,1,79,79
80,"Wang, Hanchen",author,4,80,80
81,"Wang, Jiachuan",author,1,81,81
82,"Wang, Kai",author,4,82,82
83,"Wang, Liping",author,5,83,83
84,"Wang, Lizhen",author,2,84,84
85,"Wang, Ran",author,3,85,85
86,"Wang, Shuting",author,1,86,86
87,"Wang, Wei",author,5,87,87
88,"Wang, Xiang",author,1,88,88
89,"Wang, Xianzhi",author,2,89,89
90,"Wang, Xiaoyang",author,4,90,90
91,"Wang, Xubo",author,1,91,91
92,"Wang, Xun",author,1,92,92
93,"Wang, Yaoshu",author,1,93,93
94,"Wang, Zheng",author,1,94,94
95,"Wen, Dong",author,7,95,95
96,"Wu, Han",author,1,96,96
97,"Wu, Xudong",author,1,97,97
98,"Xia, Yinglong",author,1,98,98
99,"Xiao, Chuan",author,1,99,99
100,"Xie, Qize",author,1,100,100
101,"Xiong, Haobo",author,2,101,101
102,"Xu, Zhiqiang",author,1,102,102
103,"Yang, Bohua",author,3,103,103
104,"Yang, Fangzhou",author,1,104,104
105,"Yang, Jianye",author,5,105,105
106,"Yang, Shiyu",author,1,106,106
107,"Yang, Yang",author,2,107,107
108,"Yang, Yixing",author,3,108,108
109,"Yang, Zhengyi",author,5,109,109
110,"Yao, Lina",author,2,110,110
111,"Yu, Kaiqiang",author,2,111,111
112,"Yu, Michael",author,1,112,112
113,"Yu, Weiren",author,1,113,113
114,"Yuan, Long",author,6,114,114
115,"Zeng, Weixin",author,1,115,115
116,"Zhang, Chen",author,4,116,116
117,"Zhang, Chenyi",author,1,117,117
118,"Zhang, Fan",author,10,118,118
119,"Zhang, Liqing",author,2,119,119
120,"Zhang, Mengqi",author,1,120,120
121,"Zhang, Shuai",author,1,121,121
122,"Zhang, Wenjie",author,41,122,122
123,"Zhang, Xiang",author,1,123,123
124,"Zhang, Xiao",author,1,124,124
125,"Zhang, Ying",author,44,125,125
126,"Zhao, Xiang",author,1,126,126
127,"Zhao, Yiwei",author,1,127,127
128,"Zheng, Libin",author,1,128,128
129,"Zhou, Jingren",author,4,129,129
130,"Zhou, Zhongxin",author,2,130,130
131,"Zhu, Weijie",author,1,131,131
132,"liu, Wei",author,1,132,132
