reviewer_id,listing_id,id,year,sentiment,weight
David_6343345,(L) 12351,109304860,2016,Positive,2
David_6343345,(L) 360141,4908992,2013,Positive,2
David_6343345,(L) 1106059,255231899,2018,Positive,2
David_6343345,(L) 2320694,262739282,2018,Positive,2
David_6343345,(L) 3657826,231374333,2018,Negative,1
David_6343345,(L) 4857085,62190229,2016,Positive,2
David_6343345,(L) 6939281,265644758,2018,Positive,2
David_6343345,(L) 7355414,74178174,2016,Positive,2
David_6343345,(L) 7923071,113154916,2016,Negative,1
David_6343345,(L) 9116265,333895625,2018,Positive,2
David_6343345,(L) 9245388,64528547,2016,Negative,1
David_6343345,(L) 9245388,65248847,2016,Negative,1
David_6343345,(L) 9780282,247267255,2018,Negative,1
David_6343345,(L) 10295733,63098744,2016,Positive,2
David_6343345,(L) 10295733,66063263,2016,Negative,1
David_6343345,(L) 10295733,69089689,2016,Positive,2
David_6343345,(L) 10295733,70971248,2016,Negative,1
David_6343345,(L) 10295733,71872876,2016,Negative,1
David_6343345,(L) 10295733,72985959,2016,Negative,1
David_6343345,(L) 10295733,75270327,2016,Negative,1
David_6343345,(L) 10295733,77905699,2016,Negative,1
David_6343345,(L) 10295733,78991067,2016,Negative,1
David_6343345,(L) 10295733,81823156,2016,Negative,1
David_6343345,(L) 10295733,83302477,2016,Negative,1
David_6343345,(L) 10295733,86290601,2016,Negative,1
David_6343345,(L) 10295733,93483431,2016,Positive,2
David_6343345,(L) 10295733,97322633,2016,Negative,1
David_6343345,(L) 10295733,98980839,2016,Positive,2
David_6343345,(L) 10295733,102010946,2016,Negative,1
David_6343345,(L) 10295733,112247300,2016,Positive,2
David_6343345,(L) 10295733,115439382,2016,Positive,2
David_6343345,(L) 10295733,120219474,2016,Negative,1
David_6343345,(L) 10295733,126549054,2017,Positive,2
David_6343345,(L) 10295733,127615169,2017,Negative,1
David_6343345,(L) 10295733,129843274,2017,Negative,1
David_6343345,(L) 10295733,130975052,2017,Negative,1
David_6343345,(L) 10295733,132243140,2017,Positive,2
David_6343345,(L) 10295733,134908870,2017,Negative,1
David_6343345,(L) 10295733,137675773,2017,Negative,1
David_6343345,(L) 10295733,139137434,2017,Negative,1
David_6343345,(L) 10295733,142158991,2017,Negative,1
David_6343345,(L) 10295733,151260179,2017,Negative,1
David_6343345,(L) 10295733,160840337,2017,Negative,1
